algorithm;computer;mode;filename;run_number;internal_time;external_time;external_memory;opt;
ukp5;desktop;parallel;saw_n50000wmin5000-3-s952877847c349670.ukp;1;0.697615;0.82;11932;349876;
ukp5;desktop;parallel;hi_n50000-16-s221755733c4342551.ukp;1;3.46633;3.60;120192;2082282105;
ukp5;desktop;parallel;saw_n100000wmin10000-17-s754775117c5339981.ukp;1;6.87759;7.19;88608;5341578;
ukp5;desktop;parallel;ss2_wmin100000wmax500000n20000-0-s827183242c7127247.ukp;1;0.0704368;0.13;76908;7127247;
ukp5;desktop;parallel;saw_n50000wmin10000-0-s985850175c337971.ukp;1;1.00891;1.16;12012;338002;
ukp5;desktop;parallel;ss2_wmin50000wmax1000000n50000-0-s827183242c9635014.ukp;1;0.0343143;0.16;110428;9635014;
ukp5;desktop;parallel;hi_n20000-42-s261146317c86648320.ukp;1;1.78705;2.15;2049688;17430101586;
ukp5;desktop;parallel;saw_n10000wmin10000-2-s272488647c115367.ukp;1;0.126156;0.16;7588;115398;
ukp5;desktop;parallel;hi_n5000-33-s126192256c6034433.ukp;1;0.109964;0.14;146444;313734584;
ukp5;desktop;parallel;ss2_wmin5000wmax500000n50000-0-s827183242c8053326.ukp;1;0.0106609;0.17;83712;8053326;
ukp5;desktop;parallel;ss2_wmin10000wmax500000n100000-0-s827183242c8628995.ukp;1;0.0164707;0.26;87024;8628995;
ukp5;desktop;parallel;hi_n10000-11-s895832870c87027021.ukp;2;1.43791;1.79;2058608;8799433767;
ukp5;desktop;parallel;saw_n100000wmin10000-3-s952877847c2362745.ukp;3;8.16192;8.46;60212;2363452;
ukp5;desktop;parallel;saw_n10000wmin10000-6-s749783978c120801.ukp;1;0.116871;0.14;7736;120847;
ukp5;desktop;parallel;ss2_wmin1000wmax1000000n50000-0-s827183242c7944993.ukp;1;0.0195979;0.19;98424;7944993;
ukp5;desktop;parallel;ss2_wmin10000wmax1000000n50000-0-s827183242c6373385.ukp;1;0.0200665;0.15;87236;6373385;
ukp5;desktop;parallel;nsds2_n20000wmin20000-18-s364656855c1284166.ukp;1;1.15556;1.21;48236;1603691;
ukp5;desktop;parallel;saw_n10000wmin10000-16-s98298363c954260.ukp;1;0.11972;0.15;19184;954638;
ukp5;desktop;parallel;hi_n20000-12-s420935988c55461121.ukp;1;1.41245;1.67;1318712;11166156062;
ukp5;desktop;parallel;nsds2_n20000wmin20000-17-s414892754c1568401.ukp;2;1.24952;1.30;54440;1969004;
ukp5;desktop;parallel;hi_n5000-19-s808826180c589971.ukp;1;0.0373196;0.05;18680;29894792;
ukp5;desktop;parallel;hi_n10000-48-s888315654c85762730.ukp;1;1.31228;1.64;2028964;8671120377;
ukp5;desktop;parallel;saw_n50000wmin10000-11-s727046990c678817.ukp;1;1.01256;1.13;17180;678883;
ukp5;desktop;parallel;hi_n50000-20-s742053853c54992286.ukp;1;4.1837;4.55;1307708;27610414933;
ukp5;desktop;parallel;nsds2_n50000wmin20000-11-s577782098c1718268.ukp;1;7.26633;7.44;58588;5192016;
ukp5;desktop;parallel;hi_n20000-28-s882501307c67192471.ukp;1;1.65778;1.93;1593720;13496631391;
ukp5;desktop;parallel;saw_n50000wmin5000-14-s133254276c178769.ukp;1;0.688315;0.84;8952;178838;
ukp5;desktop;parallel;nsds2_n20000wmin50000-17-s414892754c1072316.ukp;1;1.1545;1.23;42996;1369353;
ukp5;desktop;parallel;hi_n20000-14-s318339058c57605881.ukp;1;1.49327;1.76;1368428;11590953581;
ukp5;desktop;parallel;saw_n50000wmin10000-17-s754775117c325367.ukp;1;1.00629;1.16;11504;325462;
ukp5;desktop;parallel;saw_n50000wmin5000-35-s491254116c460361.ukp;1;0.683194;0.83;14636;460544;
ukp5;desktop;parallel;nsds2_n20000wmin50000-15-s161344243c1048427.ukp;1;0.918092;0.97;42736;1343116;
ukp5;desktop;parallel;hi_n20000-34-s467641010c40842012.ukp;1;1.20167;1.41;976056;8180607175;
ukp5;desktop;parallel;hi_n50000-9-s915258292c88886832.ukp;1;4.61447;5.09;2102036;44528626130;
ukp5;desktop;parallel;hi_n10000-25-s199811851c76710035.ukp;1;1.21535;1.50;1816824;7748598782;
ukp5;desktop;parallel;sc_a-5n5000wmin50000-0-c949215.ukp;1;0.182427;0.20;22820;949125;
ukp5;desktop;parallel;nsds2_n50000wmin50000-16-s908468142c1956620.ukp;1;5.89535;6.03;64664;5945352;
ukp5;desktop;parallel;hi_n10000-36-s442208726c59442236.ukp;1;1.10326;1.32;1411908;6022409912;
ukp5;desktop;parallel;saw_n50000wmin10000-18-s152335818c355064.ukp;1;1.00288;1.16;13220;355202;
ukp5;desktop;parallel;saw_n50000wmin5000-4-s697219038c612912.ukp;1;0.701884;0.82;16512;613399;
ukp5;desktop;parallel;saw_n50000wmin5000-34-s855474452c407194.ukp;2;0.67746;0.79;12668;407436;
ukp5;desktop;parallel;hi_n5000-1-s594914841c3897377.ukp;1;0.078997;0.11;75848;202828256;
ukp5;desktop;parallel;hi_n10000-7-s586106970c93158297.ukp;1;1.37873;1.72;2202168;9414637563;
ukp5;desktop;parallel;sc_a-5n5000wmin10000-0-c530995.ukp;1;0.0474636;0.06;12232;530815;
ukp5;desktop;parallel;hi_n50000-27-s532584774c87763824.ukp;1;4.5689;5.00;2075300;43937109706;
ukp5;desktop;parallel;saw_n50000wmin5000-30-s620888276c657935.ukp;1;0.728125;0.85;15484;658196;
ukp5;desktop;parallel;hi_n50000-37-s252959003c57280825.ukp;1;4.19117;4.59;1361008;28682980680;
ukp5;desktop;parallel;saw_n50000wmin5000-0-s985850175c1032306.ukp;1;0.698815;0.85;17576;1032511;
ukp5;desktop;parallel;nsds2_n20000wmin50000-2-s463795034c1376516.ukp;2;0.904666;0.96;50084;1765896;
ukp5;desktop;parallel;hi_n50000-25-s199811851c19155432.ukp;1;3.69757;3.89;467324;9506182833;
ukp5;desktop;parallel;nsds2_n50000wmin50000-10-s260379653c1520334.ukp;1;5.61511;5.74;54476;4560690;
ukp5;desktop;parallel;hi_n10000-30-s418727292c56574382.ukp;1;1.05323;1.28;1344908;5706182036;
ukp5;desktop;parallel;nsds2_n50000wmin50000-5-s999292130c1082699.ukp;1;4.04733;4.17;44244;3208928;
ukp5;desktop;parallel;hi_n5000-23-s605460062c1320121.ukp;1;0.0468254;0.07;35792;68471306;
ukp5;desktop;parallel;hi_n5000-22-s434860255c760592.ukp;2;0.0408299;0.06;22628;38292306;
ukp5;desktop;parallel;hi_n20000-37-s252959003c48079947.ukp;2;1.56884;1.80;1145368;9659733607;
ukp5;desktop;parallel;sc_a5n10000wmin110000-1-c9021988.ukp;1;0.782988;0.82;100308;9022398;
ukp5;desktop;parallel;ss2_wmin5000wmax1000000n100000-0-s827183242c8821306.ukp;1;0.0201386;0.26;106200;8821306;
ukp5;desktop;parallel;hi_n5000-14-s318339058c4983076.ukp;1;0.121997;0.17;121480;258168718;
ukp5;desktop;parallel;hi_n10000-4-s182130978c48752651.ukp;1;0.385766;0.49;683328;4914239108;
ukp5;desktop;parallel;ss2_wmin5000wmax500000n20000-0-s827183242c7213812.ukp;1;0.00915494;0.07;77628;7213812;
