num_iter;knapsack_time;sort_time
 111; 0x1.0ad5710b3009ep-11; 0x0p+0
 112; 0x1.d39ccaa681df6p-12; 0x0p+0
 113; 0x1.f45370e2b893dp-12; 0x0p+0
 114; 0x1.fb8be333d2a6ap-12; 0x0p+0
 115; 0x1.1f2c265fcc549p-11; 0x0p+0
 116; 0x1.c88a1cf9e0d72p-12; 0x0p+0
 117; 0x1.c7715467469c6p-12; 0x0p+0
 118; 0x1.f440eb3de24ap-12; 0x0p+0
 119; 0x1.f83a8ec72da68p-12; 0x0p+0
 120; 0x1.0d98c4dd6a28fp-11; 0x0p+0
 121; 0x1.00e26449e7bbdp-11; 0x0p+0
 122; 0x1.0ff232da3f489p-11; 0x0p+0
 123; 0x1.2b5576dd8a92dp-11; 0x0p+0
 124; 0x1.2234bbd206503p-11; 0x0p+0
 125; 0x1.fe490a79c557ap-12; 0x0p+0
 126; 0x1.1370e4de554f3p-11; 0x0p+0
 127; 0x1.002502b2a69fbp-11; 0x0p+0
 128; 0x1.e3bf353d2c38fp-12; 0x0p+0
 129; 0x1.111a6acb8c163p-11; 0x0p+0
 130; 0x1.0da4722981f35p-11; 0x0p+0
 131; 0x1.fac6db1b44292p-12; 0x0p+0
 132; 0x1.111e4f3a3eafp-11; 0x0p+0
 133; 0x1.f0a2d10c07dc5p-12; 0x0p+0
 134; 0x1.139d51f11fa39p-11; 0x0p+0
 135; 0x1.f9b3b5a4921b2p-12; 0x0p+0
 136; 0x1.fd844719667aep-12; 0x0p+0
 137; 0x1.eaa7646ea5b64p-12; 0x0p+0
 138; 0x1.07e11feb01ec1p-11; 0x0p+0
 139; 0x1.fac5c83a85a6bp-12; 0x0p+0
 140; 0x1.63275b7d6e03bp-12; 0x0p+0
 141; 0x1.1c4a38885cb06p-11; 0x0p+0
 142; 0x1.1fe8dc2a965f3p-11; 0x0p+0
 143; 0x1.00d26b7ad5e7bp-11; 0x0p+0
 144; 0x1.05546c82a3f89p-11; 0x0p+0
 145; 0x1.0e1a6c5f462ep-11; 0x0p+0
 146; 0x1.f469fd525946dp-12; 0x0p+0
 147; 0x1.0e44d60cab4dep-11; 0x0p+0
 148; 0x1.fb7c517908436p-12; 0x0p+0
 149; 0x1.21afb951d6f37p-11; 0x0p+0
 150; 0x1.01b2b29a4692cp-11; 0x0p+0
 151; 0x1.052b3812152b6p-11; 0x0p+0
 152; 0x1.1f91c0b2374a4p-11; 0x0p+0
 153; 0x1.d7fa49d5029dcp-12; 0x0p+0
 154; 0x1.02942ef68d907p-11; 0x0p+0
 155; 0x1.018b5f330529dp-11; 0x0p+0
 156; 0x1.00c9d474e1d44p-11; 0x0p+0
 157; 0x1.0f545bccda63cp-11; 0x0p+0
 158; 0x1.17448c994d65ep-11; 0x0p+0
 159; 0x1.1ad2022f9eedep-11; 0x0p+0
 160; 0x1.e8f03b5e47558p-12; 0x0p+0
 161; 0x1.0e5c0e48c3126p-11; 0x0p+0
 162; 0x1.1fe8305e1f4dbp-11; 0x0p+0
 163; 0x1.17edee96b244cp-11; 0x0p+0
 164; 0x1.26a346b05765p-11; 0x0p+0
 165; 0x1.2967cfbf67d6dp-11; 0x0p+0
 166; 0x1.2025edd8e9994p-11; 0x0p+0
 167; 0x1.359e477e43d2cp-11; 0x0p+0
 168; 0x1.23d59d2af39eap-11; 0x0p+0
 169; 0x1.2915893a620ccp-11; 0x0p+0
 170; 0x1.102edd744b11bp-11; 0x0p+0
 171; 0x1.18a8178bb7d9ap-11; 0x0p+0
 172; 0x1.facd4c5fbb37bp-12; 0x0p+0
 173; 0x1.0ff6a0b951229p-11; 0x0p+0
 174; 0x1.f9beb72432d4p-12; 0x0p+0
 175; 0x1.06f29ea9b500ep-11; 0x0p+0
 176; 0x1.1edb15179cdd5p-11; 0x0p+0
 177; 0x1.088749462b43bp-11; 0x0p+0
 178; 0x1.1ca93f3a38c73p-11; 0x0p+0
 179; 0x1.14d35cf001408p-11; 0x0p+0
 180; 0x1.1f0ce08e1fbdep-11; 0x0p+0
 181; 0x1.232fb887f9e79p-11; 0x0p+0
 182; 0x1.28f9c0c3209ep-11; 0x0p+0
 183; 0x1.1f741731a8773p-11; 0x0p+0
 184; 0x1.2b18a9e766f96p-11; 0x0p+0
 185; 0x1.3def6005e04ffp-11; 0x0p+0
 186; 0x1.2d3f1730e2e5bp-11; 0x0p+0
 187; 0x1.48dbcd2bfe71cp-11; 0x0p+0
 188; 0x1.13906f6831868p-11; 0x0p+0
 189; 0x1.2813d687c7c63p-11; 0x0p+0
 190; 0x1.29e954e52c0bap-11; 0x0p+0
 191; 0x1.24bbcc1e7c17p-11; 0x0p+0
 192; 0x1.26a99598b6a35p-11; 0x0p+0
 193; 0x1.2cb7eeef36842p-11; 0x0p+0
 194; 0x1.247a4c911702fp-11; 0x0p+0
 195; 0x1.27712a8709967p-11; 0x0p+0
 196; 0x1.432428399635p-11; 0x0p+0
 197; 0x1.24472981a5ff5p-11; 0x0p+0
 198; 0x1.3b013b71f9a02p-11; 0x0p+0
 199; 0x1.2911e983df149p-11; 0x0p+0
 200; 0x1.27fa1175eb8bfp-11; 0x0p+0
 201; 0x1.46fac3de9a325p-11; 0x0p+0
 202; 0x1.2c7d8c72bf902p-11; 0x0p+0
 203; 0x1.452f567c2ff3bp-11; 0x0p+0
 204; 0x1.4966506bfe2afp-11; 0x0p+0
 205; 0x1.409887b1f6c3ep-11; 0x0p+0
 206; 0x1.37d355fde3702p-11; 0x0p+0
 207; 0x1.26b5cc552daeep-11; 0x0p+0
 208; 0x1.18395cc2f98f5p-11; 0x0p+0
