algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
eduk;rr_n1024-8-s90643c2128174.ukp;1;0.00333;0.01;4272;2308469;
eduk2;rr_n1024-8-s90643c2128174.ukp;1;0.00333;0.01;3924;2308469;
cpp-mtu1;rr_n1024-8-s90643c2128174.ukp;1;0.000257757;0.02;3320;2308469;
cpp-mtu2;rr_n1024-8-s90643c2128174.ukp;1;9.4676e-05;0.00;3484;2308469;
mgreendp;rr_n1024-8-s90643c2128174.ukp;1;0.00858716;0.03;26500;2308469;
ordered_step_off;rr_n1024-9-s36374c2133152.ukp;1;0.0170337;0.03;36268;2198462;
terminating_step_off;rr_n1024-9-s36374c2133152.ukp;1;0.0179156;0.04;34576;2198462;
eduk;rr_n1024-9-s36374c2133152.ukp;1;0.01000;0.02;5488;2198462;
eduk2;rr_n1024-9-s36374c2133152.ukp;1;0.00333;0.01;5488;2198462;
cpp-mtu1;rr_n1024-9-s36374c2133152.ukp;1;0.0185797;0.04;3384;2198462;
cpp-mtu2;rr_n1024-9-s36374c2133152.ukp;1;0.00139997;0.01;3364;2198462;
mgreendp;rr_n1024-9-s36374c2133152.ukp;1;0.00635503;0.02;34228;2198462;
ordered_step_off;rr_n131072-0-s137962c275540577.ukp;1;9.93904;10.36;4313584;277114495;
terminating_step_off;rr_n131072-0-s137962c275540577.ukp;1;9.44289;9.73;3431128;277114495;
eduk;rr_n131072-0-s137962c275540577.ukp;1;14.84000;14.88;61660;277114495;
eduk2;rr_n131072-0-s137962c275540577.ukp;1;1.02333;1.06;72032;277114495;
cpp-mtu1;rr_n131072-0-s137962c275540577.ukp;1;2.58151;2.86;10360;277114495;
cpp-mtu2;rr_n131072-0-s137962c275540577.ukp;1;2.27375;2.55;7392;277114495;
mgreendp;rr_n131072-0-s137962c275540577.ukp;1;9.37301;9.65;4249988;277114495;
ordered_step_off;rr_n131072-1-s615086c275028465.ukp;1;16.2863;16.57;4305612;277462992;
terminating_step_off;rr_n131072-1-s615086c275028465.ukp;1;16.1329;16.42;4306344;277462992;
eduk;rr_n131072-1-s615086c275028465.ukp;1;13.91667;13.95;61660;277462992;
eduk2;rr_n131072-1-s615086c275028465.ukp;1;0.19000;0.23;71060;277462992;
cpp-mtu1;rr_n131072-1-s615086c275028465.ukp;1;;1800.00;10312;;
cpp-mtu2;rr_n131072-1-s615086c275028465.ukp;1;;1800.00;8480;;
mgreendp;rr_n131072-1-s615086c275028465.ukp;1;15.6561;15.93;4241724;277462992;
ordered_step_off;rr_n131072-2-s750175c269931501.ukp;1;12.6925;12.98;4225904;271220285;
terminating_step_off;rr_n131072-2-s750175c269931501.ukp;1;12.6171;12.90;4226884;271220285;
eduk;rr_n131072-2-s750175c269931501.ukp;1;14.83000;14.86;54604;271220285;
eduk2;rr_n131072-2-s750175c269931501.ukp;1;10.73666;10.77;72076;271220285;
cpp-mtu1;rr_n131072-2-s750175c269931501.ukp;1;;1800.00;10396;;
cpp-mtu2;rr_n131072-2-s750175c269931501.ukp;1;;1800.00;9164;;
mgreendp;rr_n131072-2-s750175c269931501.ukp;1;12.1945;12.48;4161444;271220285;
ordered_step_off;rr_n131072-3-s608776c271726715.ukp;1;10.7742;11.06;4254008;274570658;
terminating_step_off;rr_n131072-3-s608776c271726715.ukp;1;10.7037;10.98;4254756;274570658;
eduk;rr_n131072-3-s608776c271726715.ukp;1;28.89333;28.93;68552;274570658;
eduk2;rr_n131072-3-s608776c271726715.ukp;1;2.71667;2.76;70268;274570658;
cpp-mtu1;rr_n131072-3-s608776c271726715.ukp;1;;1800.00;10324;;
cpp-mtu2;rr_n131072-3-s608776c271726715.ukp;1;;1800.00;8396;;
mgreendp;rr_n131072-3-s608776c271726715.ukp;1;10.2481;10.52;4189452;274570658;
ordered_step_off;rr_n131072-4-s157673c273195129.ukp;1;21.875;22.16;4276988;276036491;
terminating_step_off;rr_n131072-4-s157673c273195129.ukp;1;21.7199;22.00;4277732;276036491;
eduk;rr_n131072-4-s157673c273195129.ukp;1;71.73999;71.79;68152;276036491;
eduk2;rr_n131072-4-s157673c273195129.ukp;1;71.60999;71.66;70684;276036491;
cpp-mtu1;rr_n131072-4-s157673c273195129.ukp;1;;1800.00;10364;;
cpp-mtu2;rr_n131072-4-s157673c273195129.ukp;1;;1800.00;8940;;
