num_iter;knapsack_time;sort_time
 84; 0x1.2f5c41a7f3ad2p-12; 0x1.659f85db9078dp-15
 85; 0x1.14dfd864a7eccp-12; 0x1.4cbbf05b9d34bp-15
 86; 0x1.0d9fe1ee5849p-12; 0x1.40e5d6e78b72ap-15
 87; 0x1.24a5a6c322d4fp-12; 0x1.3c8d7164939fdp-15
 88; 0x1.ed5d078f62d66p-13; 0x1.41422e678b436p-15
 89; 0x1.3d0c69b4935eep-12; 0x1.3d2a35913a023p-15
 90; 0x1.cccb6c9cd8b5bp-13; 0x1.67ee14b4dcafep-15
 91; 0x1.b33f43480f747p-13; 0x1.65dff288370a7p-15
 92; 0x1.886f0b0bddeafp-13; 0x1.6633b30242c7dp-15
 93; 0x1.4c27c334eae5bp-13; 0x1.6a6796abed48p-15
 94; 0x1.32aaa22a8cc68p-13; 0x1.3e861a025714bp-15
 95; 0x1.359458df619c4p-13; 0x1.3e1448f375136p-15
 96; 0x1.9d1150e8d9507p-14; 0x1.40113d143292p-15
 97; 0x1.09991723ef2ebp-13; 0x1.50f1f9c6c4b9cp-15
 98; 0x1.3e30bd372d93cp-13; 0x1.6e6e617656625p-15
 99; 0x1.2530b37381cf4p-13; 0x1.6c1515d59913p-15
 100; 0x1.776022994bdacp-13; 0x1.66ec620242695p-15
 101; 0x1.ef72ade13e0ccp-14; 0x1.68d8281717c11p-15
 102; 0x1.ae2597bf23eccp-14; 0x1.532f5a9428cap-15
 103; 0x1.1100c815c7ac4p-13; 0x1.42e0a546cbec5p-15
 104; 0x1.2aa8dc3dea2cap-13; 0x1.3e92fc8b4531dp-15
 105; 0x1.112e6a6568537p-13; 0x1.962045f93c1f2p-15
 106; 0x1.5439a44cb724p-14; 0x1.3f94af3ddf786p-15
 107; 0x1.77e18562f83f3p-13; 0x1.8ec939a2ec873p-15
 108; 0x1.450779a48f499p-13; 0x1.5c654a765f9c9p-15
 109; 0x1.77102431dae5ep-14; 0x1.3f06f35ba438p-15
 110; 0x1.4137fb10796c4p-13; 0x1.3b2f6731f9888p-15
 111; 0x1.f36511fd8378fp-14; 0x1.86de0025eaa04p-15
 112; 0x1.34cd6fbd85baap-12; 0x1.3d32cc972e15ap-15
 113; 0x1.a5721d8758013p-13; 0x1.3a5010972f8fap-15
 114; 0x1.eb14e9fa8dadep-14; 0x1.3c4d04b7ed0e3p-15
 115; 0x1.d78a59cf6e00ap-14; 0x1.41fadd678ae4ep-15
 116; 0x1.56256a618c7bcp-14; 0x1.4603cdf37104p-15
 117; 0x1.2f71ffef057e4p-14; 0x1.40226b201ab8dp-15
 118; 0x1.f25bdb25b3a16p-14; 0x1.439fc58b429c6p-15
 119; 0x1.3e28afa198c18p-14; 0x1.466470f66ade8p-15
 120; 0x1.06a4a3a7a940ap-13; 0x1.436a15a60d23p-15
 121; 0x1.0ec47a29221e7p-14; 0x1.47c4a0ea81faap-15
 122; 0x1.f99e80cddf8b3p-14; 0x1.492d67e48d2a4p-15
 123; 0x1.234c7183e2088p-13; 0x1.52182e52ac52ep-15
 124; 0x1.f798f5a72df92p-14; 0x1.4e7877cfb421ap-15
 125; 0x1.93efc7b4c62cp-14; 0x1.5335cbd89fd89p-15
 126; 0x1.090e93e3ef759p-13; 0x1.9dc4a1852065dp-15
 127; 0x1.01600500f957dp-14; 0x1.4c2151f073d72p-15
 128; 0x1.7f6e419e7d508p-14; 0x1.47c4a0ea81faap-15
 129; 0x1.edd88284f76d8p-14; 0x1.42d19cfc60ca5p-15
 130; 0x1.73f8cb2d6568ep-14; 0x1.49dfa5a015bd3p-15
 131; 0x1.b6626bf4b48c2p-14; 0x1.9f585b9ceff68p-15
 132; 0x1.640893218560dp-14; 0x1.5bbfef43c526cp-15
 133; 0x1.1ae05ead92fe5p-13; 0x1.4e6dbb0843096p-15
 134; 0x1.bae39ed3f3bb3p-14; 0x1.490d318e39e17p-15
 135; 0x1.c696494f76ad3p-14; 0x1.4f4d11a30d024p-15
 136; 0x1.0f785435c875p-13; 0x1.441a2da018b12p-15
 137; 0x1.0cf4157746c4ap-13; 0x1.504ec455a748dp-15
 138; 0x1.32df3f2f03bd6p-13; 0x1.59e331795af1p-15
 139; 0x1.e4c7147c0ded8p-14; 0x1.4209e5b1f606dp-15
 140; 0x1.b2e1d8e751214p-13; 0x1.4ebf55c0d1c1dp-15
 141; 0x1.d69476c50354cp-12; 0x1.4e3c56a60799bp-15
 142; 0x1.5f3e5c8fab8ccp-14; 0x1.645f8c3dcca57p-15
 143; 0x1.8ae2a52ed6b5cp-14; 0x1.41e7899a25b93p-15
 144; 0x1.d0ebfc791e0a4p-14; 0x1.661156ea727a2p-15
 145; 0x1.36d2b62c07acp-14; 0x1.560dcb112d465p-15
 146; 0x1.6b17aea5f8d62p-14; 0x1.6f8367f655d49p-15
 147; 0x1.8d2ce88528e31p-14; 0x1.5597ae7f513b5p-15
 148; 0x1.d1281da2ca922p-14; 0x1.5b6a09083c649p-15
 149; 0x1.c12b8c7e5bae3p-13; 0x1.6138180e2d841p-15
 150; 0x1.e3b6597f0884fp-14; 0x1.44a7e98253f19p-15
 151; 0x1.e4e2ff4f672cap-14; 0x1.471d1ff66a8p-15
 152; 0x1.127b8b4449e48p-12; 0x1.52ceb7912eef9p-15
 153; 0x1.46aceb38a6425p-13; 0x1.4b64576d7a2bfp-15
 154; 0x1.4b0efaa250aafp-13; 0x1.49117d1133eb2p-15
 155; 0x1.2cdd1c94fae83p-13; 0x1.42b7d7ea84901p-15
 156; 0x1.f9bc9162b5cf2p-14; 0x1.54a504172216cp-15
 157; 0x1.bd92d0b039ccap-14; 0x1.4f3126cfb3c32p-15
 158; 0x1.23482600e7fedp-13; 0x1.50d3e931ee75dp-15
 159; 0x1.f8bbf190da0bp-13; 0x1.50ba2420123b9p-15
 160; 0x1.49ee247a219ep-13; 0x1.4511238b41df7p-15
 161; 0x1.08ddb8f213472p-13; 0x1.3ddc734cc2953p-15
 162; 0x1.5bdac7365fe37p-13; 0x1.4db2e646c663p-15
 163; 0x1.0e8c1b12105fp-13; 0x1.51b33fccb86ebp-15
 164; 0x1.0f407e8f15f6dp-12; 0x1.47be2fa60aec1p-15
 165; 0x1.427c403137496p-13; 0x1.4752cfdb9ff96p-15
 166; 0x1.355d96196da08p-13; 0x1.407a771d207fep-15
 167; 0x1.894b29046c5c8p-13; 0x1.4e51d034e9ca4p-15
 168; 0x1.70510714d8657p-13; 0x1.48fe2943cebf7p-15
 169; 0x1.1551a97389ee1p-13; 0x1.4cb57f1726262p-15
 170; 0x1.19a4b092c934bp-13; 0x1.444fdd854e2a8p-15
 171; 0x1.f65ee3dd81f33p-13; 0x1.4f0a7f34e96bcp-15
 172; 0x1.36ca1f261398ap-14; 0x1.51a65d43ca519p-15
 173; 0x1.4b1096f36e6e9p-13; 0x1.42308d4cc05e4p-15
 174; 0x1.eb1a485e463ap-15; 0x1.512583ea7d2e5p-15
 175; 0x1.9783ae8f8ec29p-14; 0x1.527260112f1edp-15
 176; 0x1.c83074abbd4c6p-14; 0x1.4cbe161d1a399p-15
 177; 0x1.07e3cf1cde323p-11; 0x1.56f7de7368578p-15
 178; 0x1.51f8816cb84b4p-12; 0x1.4291304fba38bp-15
 179; 0x1.69427500c4316p-14; 0x1.48c8795e99461p-15
 180; 0x1.26b1e7e67b161p-12; 0x1.43d9c0f3721f8p-15
 181; 0x1.33e2d2eaeb684p-12; 0x1.444fdd854e2a8p-15
 182; 0x1.3cdbd37ae6d1p-13; 0x1.42fa6a58a8269p-15
 183; 0x1.aa8919de6742cp-14; 0x1.4ac121fc5cbafp-15
 184; 0x1.fadf8d4c61e1p-14; 0x1.492f8da60a2f2p-15
 185; 0x1.00097ef394d18p-13; 0x1.4fadb4a606dcbp-15
 186; 0x1.590ad5936747dp-13; 0x1.47fc76913478ep-15
 187; 0x1.26c8b90e4b69bp-13; 0x1.48b74b52b11f4p-15
 188; 0x1.a040493dae02ep-14; 0x1.4e9688648a659p-15
 189; 0x1.11464e6df7297p-12; 0x1.4f8932ccb98a3p-15
 190; 0x1.631b471d0ec86p-13; 0x1.3e74ebf66eedep-15
 191; 0x1.40226b201ab8dp-12; 0x1.45e3979d1dbb3p-15
 192; 0x1.365a2f207efb9p-12; 0x1.69506a6a70d0ep-15
 193; 0x1.20600b9d30ecap-13; 0x1.4edb40942b00fp-15
 194; 0x1.7709b2ed63d75p-13; 0x1.4ef2dfe48a365p-15
 195; 0x1.28d900fc6e14p-13; 0x1.3f92897c62739p-15
 196; 0x1.7febe2558eec8p-14; 0x1.4ce297f6678c1p-15
 197; 0x1.fd609368a80a2p-14; 0x1.427bb6c0d8082p-15
 198; 0x1.cc24fe897fbd8p-14; 0x1.4621de884748p-15
 199; 0x1.41e22b366d2dp-14; 0x1.545c00648771bp-15
 200; 0x1.7130e720019f8p-14; 0x1.4a7a440b3f1acp-15
 201; 0x1.bf268ac8095d6p-14; 0x1.4e3e7c67849e9p-15
 202; 0x1.1498fa738a4c8p-13; 0x1.4edf8c17250aap-15
 203; 0x1.1d6ac9f85c1ccp-12; 0x1.50c09564894a2p-15
 204; 0x1.2e7385dea6befp-13; 0x1.4dece1aef5e61p-15
 205; 0x1.0f8c31738ce1fp-13; 0x1.4a94091d1b55p-15
 206; 0x1.d85323fa97469p-14; 0x1.4de44aa901d2ap-15
 207; 0x1.210ceaf500f37p-13; 0x1.49563540d4868p-15
 208; 0x1.0cd2cc4034f96p-13; 0x1.4d5ada49c09bfp-15
 209; 0x1.5fcd2b52a54fap-13; 0x1.3be1a4ed821b7p-15
 210; 0x1.1fb43f261f684p-13; 0x1.58157bf95bdd3p-15
 211; 0x1.09c7cc544e585p-13; 0x1.57746c49bb711p-15
 212; 0x1.a9c0d9239d3e2p-13; 0x1.4cd7db2ef673dp-15
 213; 0x1.27c50d5d2d242p-13; 0x1.4b93960e3896cp-15
 214; 0x1.925150d58583p-13; 0x1.3aca78ac05a45p-15
 215; 0x1.3d8ad89433dcbp-14; 0x1.511455de95077p-15
 216; 0x1.911d26dff14a6p-14; 0x1.5c56422bf47a9p-15
 217; 0x1.d35e83bb5852ap-13; 0x1.51b33fccb86ebp-15
 218; 0x1.387465ad83dc4p-13; 0x1.50c92c6a7d5d9p-15
 219; 0x1.a8cfcb0c8bdd2p-14; 0x1.5f2e416481e85p-15
 220; 0x1.fc1915a5aea5cp-14; 0x1.5c33e614242cep-15
 221; 0x1.067dfc0cdee94p-14; 0x1.5269c90b3b0b6p-15
 222; 0x1.b62cbc0f7f12dp-14; 0x1.596258200dcdbp-15
 223; 0x1.002f5865d047p-12; 0x1.4ed2a98e36ed8p-15
 224; 0x1.a062a5557e508p-14; 0x1.60cede053f963p-15
 225; 0x1.951fa627605bp-14; 0x1.761d79c9abc15p-15
 226; 0x1.5ef083e9b79ccp-13; 0x1.5677051a1b344p-15
 227; 0x1.74e1cbaee1f7ap-12; 0x1.498573e192f15p-15
 228; 0x1.9e8df520a8ecfp-13; 0x1.4b5de629031d6p-15
 229; 0x1.aabb91216134ep-14; 0x1.643b0a647f52fp-15
 230; 0x1.af444825d5f4ep-14; 0x1.5966a3a307d76p-15
 231; 0x1.e1dde7379858ep-13; 0x1.607d434cb0ddbp-15
 232; 0x1.db572931a797ep-14; 0x1.6ad741f952448p-15
 233; 0x1.bc205fcf7c074p-14; 0x1.536da17f5256dp-15
 234; 0x1.816e6e6176566p-14; 0x1.4d1c935e970f2p-15
 235; 0x1.bbc853d276404p-14; 0x1.4365ca2313195p-15
 236; 0x1.3073b2a19fc4dp-14; 0x1.5a3f88f95ac1cp-15
 237; 0x1.e19b54c974c26p-15; 0x1.5044078e36309p-15
 238; 0x1.9d865a99f6d9p-13; 0x1.44655714305b1p-15
 239; 0x1.693eb2ee2968ep-13; 0x1.4fa969230cd3p-15
 240; 0x1.21d1699d302fap-13; 0x1.57e63d589d726p-15
 241; 0x1.642c021a1430fp-14; 0x1.5a6ca1d89c27bp-15
 242; 0x1.5eab4249b7c03p-14; 0x1.51167ba0120c5p-15
 243; 0x1.394d4b03d6c69p-14; 0x1.5145ba40d0772p-15
 244; 0x1.30f7c49d286f6p-14; 0x1.5534e5bada5cp-15
 245; 0x1.89cc8bce18c1p-14; 0x1.5fd7e81a1667ep-15
 246; 0x1.00ad3dd51183ap-12; 0x1.3c1dc6172ea36p-15
 247; 0x1.44bcd9a0d6e0ep-13; 0x1.3efc3694331fbp-15
 248; 0x1.91d3b01e73e7p-14; 0x1.548b3f0545dc8p-15
 249; 0x1.4e15af0b3d425p-14; 0x1.56e48aa6032bdp-15
 250; 0x1.3e0bb1ed81p-14; 0x1.52a3c4736a8e7p-15
 251; 0x1.b7b6cc409c0dap-14; 0x1.596258200dcdbp-15
 252; 0x1.aa5aee1e675a6p-14; 0x1.5b6a09083c649p-15
 253; 0x1.420e3134f0108p-14; 0x1.627c5d2eeb612p-15
 254; 0x1.901615c99e77bp-13; 0x1.507e02f665b3ap-15
 255; 0x1.bd56af868d44cp-14; 0x1.539aba5e93bccp-15
 256; 0x1.95c6143ab9534p-14; 0x1.533c3d1d16e72p-15
 257; 0x1.4db3f92784e57p-14; 0x1.4db2e646c663p-15
 258; 0x1.5a2f6dce311d5p-14; 0x1.5ea91c883abb5p-15
 259; 0x1.8c641e59ff9d2p-14; 0x1.72f6059a0c9fep-15
 260; 0x1.97307785e2467p-13; 0x1.567d765e9242dp-15
 261; 0x1.24a6303382162p-13; 0x1.48aeb44cbd0bdp-15
 262; 0x1.2b0533bde9fd6p-13; 0x1.47eb48854c521p-15
 263; 0x1.81d8bb4b22c6cp-14; 0x1.55309a37e0525p-15
 264; 0x1.269d3c8027c76p-13; 0x1.551f6c2bf82b7p-15
 265; 0x1.000ff0380be01p-14; 0x1.4e51d034e9ca4p-15
 266; 0x1.096e24062acdap-13; 0x1.5b02f4c0cb7b8p-15
 267; 0x1.14fb39c7a1eaap-13; 0x1.54310d46c3109p-15
 268; 0x1.271f28ba336d2p-13; 0x1.56de19618c1d4p-15
 269; 0x1.382ff23612e18p-12; 0x1.52ceb7912eef9p-15
 270; 0x1.54196df663db3p-14; 0x1.5663b14cb6088p-15
 271; 0x1.b7d4dcd57251ap-14; 0x1.43368b8254ae8p-15
 272; 0x1.fd0ef8b01951ap-14; 0x1.3e1cdff96926dp-15
 273; 0x1.e760ccc971ce7p-15; 0x1.68e2e4de88d95p-15
 274; 0x1.50be6fa30c454p-14; 0x1.64acdb7361543p-15
