algorithm;filename;run_number;total_iter;hex_sum_knapsack_time;hex_sum_sort_time;hex_sum_master_prob_time;hex_rolls;
cplex_cutstock;1002_80000_NR_14.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_NR_16.csp.txt;1;5415;0x1.742625174cde8p+5;0x1.2ea07736f6bf8p-2;0x1.566d74b8973d1p+6;0x1.4c000023d0cccp+8;
ukp5_fp_ns_cutstock;1002_80000_NR_16.csp.txt;1;5621;0x1.ef3a714703e35p+4;0x0p+0;0x1.67429653a5298p+6;0x1.4c00002aaf3dp+8;
ukp5_int_cutstock;1002_80000_NR_16.csp.txt;1;5495;0x1.57cb32f1d6011p+5;0x1.08a9bd0e79fc2p-2;0x1.617b143c6f6a8p+6;0x1.4c00002f67b21p+8;
ukp5_int_ns_cutstock;1002_80000_NR_16.csp.txt;1;5478;0x1.cc8468c0915c9p+4;0x0p+0;0x1.5ffb8f9d8ebe9p+6;0x1.4c0000315373cp+8;
mtu1_cutstock;1002_80000_NR_16.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_NR_16.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_NR_21.csp.txt;1;5016;0x1.6ef81de17891dp+5;0x1.0fb52ae700cc2p-2;0x1.0f10a8eed4bd2p+6;0x1.4c00001f3bf32p+8;
ukp5_fp_ns_cutstock;1002_80000_NR_21.csp.txt;1;5269;0x1.ec9da0b1f7f15p+4;0x0p+0;0x1.2906040a36f6fp+6;0x1.4c00000eeab6fp+8;
ukp5_int_cutstock;1002_80000_NR_21.csp.txt;1;5291;0x1.663c2a6f72dd1p+5;0x1.f9c18f45c77b1p-3;0x1.2db461776943dp+6;0x1.4c00000e1b112p+8;
ukp5_int_ns_cutstock;1002_80000_NR_21.csp.txt;1;5297;0x1.e01fb6982d075p+4;0x0p+0;0x1.2f15c34dd0a0bp+6;0x1.4c00001231ee9p+8;
mtu1_cutstock;1002_80000_NR_21.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_NR_21.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_NR_25.csp.txt;1;5215;0x1.3a6a579e664bep+5;0x1.1ee54a2d5be9bp-2;0x1.45be392d2e749p+6;0x1.4c00002841edep+8;
ukp5_fp_ns_cutstock;1002_80000_NR_25.csp.txt;1;5129;0x1.872888f7937dp+4;0x0p+0;0x1.2f99fd7025239p+6;0x1.4c0000317ec52p+8;
ukp5_int_cutstock;1002_80000_NR_25.csp.txt;1;5214;0x1.1348afaff5404p+5;0x1.f052065d11524p-3;0x1.47c50d1f2af1cp+6;0x1.4c0000310455ep+8;
ukp5_int_ns_cutstock;1002_80000_NR_25.csp.txt;1;5214;0x1.6834ce2ff0ab1p+4;0x0p+0;0x1.484301f352d21p+6;0x1.4c0000310455ep+8;
mtu1_cutstock;1002_80000_NR_25.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_NR_25.csp.txt;1;;;;;;
ukp5_fp_cutstock;1002_80000_NR_2.csp.txt;1;5541;0x1.9277104f24f8ep+5;0x1.2fd11bd5b8473p-2;0x1.64dd09aee6989p+6;0x1.4c00001904a41p+8;
ukp5_fp_ns_cutstock;1002_80000_NR_2.csp.txt;1;5375;0x1.e612cf9b7805dp+4;0x0p+0;0x1.48f09973eb1bbp+6;0x1.4c00001e3d1ddp+8;
ukp5_int_cutstock;1002_80000_NR_2.csp.txt;1;5541;0x1.6a88eadefdf44p+5;0x1.05ac41bce3cb9p-2;0x1.56e4f38584754p+6;0x1.4c000020529b7p+8;
ukp5_int_ns_cutstock;1002_80000_NR_2.csp.txt;1;5515;0x1.df59935793c3ap+4;0x0p+0;0x1.56f4a2ff48f5bp+6;0x1.4c00001fa9fa4p+8;
mtu1_cutstock;1002_80000_NR_2.csp.txt;1;;;;;;
cplex_cutstock;1002_80000_NR_2.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_DI_11.csp.txt;1;867;0x1.1c76a3ba1db75p-3;0x1.05a997e96b3e4p-7;0x1.f3a50a5d73706p-2;0x1.04p+6;
ukp5_fp_ns_cutstock;201_2500_DI_11.csp.txt;1;832;0x1.7e722e45b89c8p-4;0x0p+0;0x1.f39a22c540aa7p-2;0x1.04p+6;
ukp5_int_cutstock;201_2500_DI_11.csp.txt;1;803;0x1.ecdef5074258p-4;0x1.a2f54d747cff7p-8;0x1.c274ef0cb512p-2;0x1.0400000000002p+6;
ukp5_int_ns_cutstock;201_2500_DI_11.csp.txt;1;824;0x1.71e076bc8eab1p-4;0x0p+0;0x1.d3488fb333403p-2;0x1.04p+6;
mtu1_cutstock;201_2500_DI_11.csp.txt;1;;;;;;
cplex_cutstock;201_2500_DI_11.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_DI_13.csp.txt;1;757;0x1.c3f1a4b748c5ap-4;0x1.c1ede9b090df7p-8;0x1.94c57e577c719p-2;0x1.0400000000001p+6;
ukp5_fp_ns_cutstock;201_2500_DI_13.csp.txt;1;781;0x1.5226f229a003ap-4;0x0p+0;0x1.a443dd135abeep-2;0x1.03fffffffffffp+6;
ukp5_int_cutstock;201_2500_DI_13.csp.txt;1;773;0x1.e487564b10494p-4;0x1.857b4bf315023p-8;0x1.9c0fab4c521c6p-2;0x1.0400000000001p+6;
ukp5_int_ns_cutstock;201_2500_DI_13.csp.txt;1;748;0x1.446fb8524a022p-4;0x0p+0;0x1.8ce5e8f4edf59p-2;0x1.03fffffffffffp+6;
mtu1_cutstock;201_2500_DI_13.csp.txt;1;;;;;;
cplex_cutstock;201_2500_DI_13.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_DI_33.csp.txt;1;715;0x1.9b069f78ce142p-4;0x1.9daf1f5f38414p-8;0x1.7c44eccca5129p-2;0x1.0400000000001p+6;
ukp5_fp_ns_cutstock;201_2500_DI_33.csp.txt;1;719;0x1.243ab72d75a67p-4;0x0p+0;0x1.792171eaa900bp-2;0x1.04p+6;
ukp5_int_cutstock;201_2500_DI_33.csp.txt;1;709;0x1.8ce339d43fbb1p-4;0x1.62500595afef4p-8;0x1.68de1e58db8eep-2;0x1.0400000000001p+6;
ukp5_int_ns_cutstock;201_2500_DI_33.csp.txt;1;735;0x1.23ac9de0d9a8p-4;0x0p+0;0x1.70fbf1861d435p-2;0x1.0400000000001p+6;
mtu1_cutstock;201_2500_DI_33.csp.txt;1;;;;;;
cplex_cutstock;201_2500_DI_33.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_DI_38.csp.txt;1;692;0x1.7a0cbd6c76649p-4;0x1.9b93b3955d0dcp-8;0x1.5ffff98ebb88fp-2;0x1.0400000000001p+6;
ukp5_fp_ns_cutstock;201_2500_DI_38.csp.txt;1;725;0x1.297c90e402372p-4;0x0p+0;0x1.8084b16ee72d1p-2;0x1.0400000000001p+6;
ukp5_int_cutstock;201_2500_DI_38.csp.txt;1;701;0x1.6b956e8080071p-4;0x1.5e62bb24f36dfp-8;0x1.61657492bdccap-2;0x1.0400000000001p+6;
ukp5_int_ns_cutstock;201_2500_DI_38.csp.txt;1;699;0x1.142b745e31f5bp-4;0x0p+0;0x1.6598dd4ae3171p-2;0x1.04p+6;
mtu1_cutstock;201_2500_DI_38.csp.txt;1;;;;;;
cplex_cutstock;201_2500_DI_38.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_DI_6.csp.txt;1;651;0x1.35284ee4d0b61p-4;0x1.70cb511919a3dp-8;0x1.3a47672df2bdcp-2;0x1.0400000000001p+6;
ukp5_fp_ns_cutstock;201_2500_DI_6.csp.txt;1;622;0x1.ab1b0558c9339p-5;0x0p+0;0x1.29bc720bb6164p-2;0x1.04p+6;
ukp5_int_cutstock;201_2500_DI_6.csp.txt;1;637;0x1.23dc9e95c6953p-4;0x1.3344251df1adbp-8;0x1.24194506ab7c3p-2;0x1.03ffffffffffep+6;
ukp5_int_ns_cutstock;201_2500_DI_6.csp.txt;1;652;0x1.a0aa1c48b5fc2p-5;0x0p+0;0x1.3376ff29b0165p-2;0x1.0400000000003p+6;
mtu1_cutstock;201_2500_DI_6.csp.txt;1;628;0x1.3e90bb935850bp-1;0x1.20aa84f94e8b1p-8;0x1.2681fdcf2bd55p-2;0x1.03fffffffffffp+6;
cplex_cutstock;201_2500_DI_6.csp.txt;1;602;0x1.81862fca14832p+8;0x0p+0;0x1.29a466377dabdp-2;0x1.04p+6;
