algorithm;filename;run_number;total_iter;hex_sum_knapsack_time;hex_sum_sort_time;hex_sum_master_prob_time;hex_rolls;
cplex_cutstock;BPP_200_125_0.1_0.7_1.csp.txt;1;169;0x1.e090293ea3e5ep-1;0x0p+0;0x1.597b6af42e7f4p-6;0x1.469f79b475821p+6;
ukp5_fp_cutstock;BPP_200_125_0.1_0.8_0.csp.txt;1;191;0x1.ffb44d1b8914dp-10;0x1.90009c3abc475p-11;0x1.27c42acdf01eap-6;0x1.6e8p+6;
ukp5_fp_ns_cutstock;BPP_200_125_0.1_0.8_0.csp.txt;1;188;0x1.b9824ad112349p-10;0x0p+0;0x1.14474f9fd06a9p-6;0x1.6e80000000001p+6;
ukp5_int_cutstock;BPP_200_125_0.1_0.8_0.csp.txt;1;177;0x1.fcc8c68b72c33p-10;0x1.6548034ee9f32p-11;0x1.10d1cc077765p-6;0x1.6e8p+6;
ukp5_int_ns_cutstock;BPP_200_125_0.1_0.8_0.csp.txt;1;177;0x1.95b46dec7dd35p-10;0x0p+0;0x1.ebbdaf33c5e67p-7;0x1.6e8p+6;
mtu1_cutstock;BPP_200_125_0.1_0.8_0.csp.txt;1;177;0x1.c47f290895834p-10;0x1.3f1b155198458p-11;0x1.f98bc579240bcp-7;0x1.6e8p+6;
cplex_cutstock;BPP_200_125_0.1_0.8_0.csp.txt;1;175;0x1.b172c4cc2aee9p-1;0x0p+0;0x1.17f0d2659301bp-6;0x1.6e7fffffffffep+6;
ukp5_fp_cutstock;BPP_200_125_0.2_0.7_5.csp.txt;1;266;0x1.ac8d80f64e6ap-10;0x1.66a72062428cbp-11;0x1.01fbdaceba851p-6;0x1.7b8p+6;
ukp5_fp_ns_cutstock;BPP_200_125_0.2_0.7_5.csp.txt;1;255;0x1.b778ca0da2217p-10;0x0p+0;0x1.1873ee7e1141cp-6;0x1.7b80000000001p+6;
ukp5_int_cutstock;BPP_200_125_0.2_0.7_5.csp.txt;1;268;0x1.d5fcbb15d9f5ep-10;0x1.62c4f9cd3e952p-11;0x1.1da6146273cecp-6;0x1.7b8p+6;
ukp5_int_ns_cutstock;BPP_200_125_0.2_0.7_5.csp.txt;1;266;0x1.b9a107325f89ep-10;0x0p+0;0x1.1ed2350df62f7p-6;0x1.7b80000000002p+6;
mtu1_cutstock;BPP_200_125_0.2_0.7_5.csp.txt;1;271;0x1.344ff9f991e31p-9;0x1.6cc9123e57398p-11;0x1.33547c6a44fe5p-6;0x1.7b80000000001p+6;
cplex_cutstock;BPP_200_125_0.2_0.7_5.csp.txt;1;156;0x1.f8cd33f242495p-2;0x0p+0;0x1.7c697b21670b7p-7;0x1.7b8p+6;
ukp5_fp_cutstock;BPP_200_125_0.2_0.8_8.csp.txt;1;223;0x1.a5ada412995fcp-10;0x1.7e12a1e58fdecp-11;0x1.ee1218fea0fcbp-7;0x1.8b55555555555p+6;
ukp5_fp_ns_cutstock;BPP_200_125_0.2_0.8_8.csp.txt;1;234;0x1.cc8e050849f35p-10;0x0p+0;0x1.1d28605794cdap-6;0x1.8b55555555554p+6;
ukp5_int_cutstock;BPP_200_125_0.2_0.8_8.csp.txt;1;225;0x1.c61dc243edfcdp-10;0x1.7f1c1d758f56ep-11;0x1.145e9185cee18p-6;0x1.8b55555555555p+6;
ukp5_int_ns_cutstock;BPP_200_125_0.2_0.8_8.csp.txt;1;225;0x1.813f634adba3dp-10;0x0p+0;0x1.eae9087de4181p-7;0x1.8b55555555555p+6;
mtu1_cutstock;BPP_200_125_0.2_0.8_8.csp.txt;1;227;0x1.0dd8ecd1e119ep-9;0x1.732747a0303f5p-11;0x1.047f3e8224658p-6;0x1.8b55555555555p+6;
cplex_cutstock;BPP_200_125_0.2_0.8_8.csp.txt;1;183;0x1.2653e2d6238d9p-1;0x0p+0;0x1.e53a2e1b93a6bp-7;0x1.8b55555555555p+6;
ukp5_fp_cutstock;BPP_200_150_0.1_0.7_9.csp.txt;1;191;0x1.2adafd9aa895ep-9;0x1.bfdb55595666p-11;0x1.85484f8b3ec9p-6;0x1.2c1b4e81b4e82p+6;
ukp5_fp_ns_cutstock;BPP_200_150_0.1_0.7_9.csp.txt;1;165;0x1.0197daa7abd6p-9;0x0p+0;0x1.5d20c3802e1f1p-6;0x1.2c1b4e81b4e83p+6;
ukp5_int_cutstock;BPP_200_150_0.1_0.7_9.csp.txt;1;172;0x1.0bd246336b118p-9;0x1.59f307ec54f47p-11;0x1.46098be74bcb9p-6;0x1.2c1b4e81b4e81p+6;
ukp5_int_ns_cutstock;BPP_200_150_0.1_0.7_9.csp.txt;1;174;0x1.fa9a7f3685bccp-10;0x0p+0;0x1.49a951728e67fp-6;0x1.2c1b4e81b4e83p+6;
mtu1_cutstock;BPP_200_150_0.1_0.7_9.csp.txt;1;183;0x1.e50b87f37ee84p-10;0x1.6aa21b847c0c4p-11;0x1.66475ba302bdcp-6;0x1.2c1b4e81b4e81p+6;
cplex_cutstock;BPP_200_150_0.1_0.7_9.csp.txt;1;158;0x1.d6656c73fa2b5p-1;0x0p+0;0x1.4b5d33eb4794dp-6;0x1.2c1b4e81b4e83p+6;
ukp5_fp_cutstock;BPP_200_150_0.1_0.8_8.csp.txt;1;217;0x1.6d15572a335a2p-9;0x1.17cba3aceddf2p-10;0x1.83d3e4ef0281ap-6;0x1.6e9c71c71c71cp+6;
ukp5_fp_ns_cutstock;BPP_200_150_0.1_0.8_8.csp.txt;1;212;0x1.34eee3e7b54ap-9;0x0p+0;0x1.6e11479d6fdf4p-6;0x1.6e9c71c71c71dp+6;
ukp5_int_cutstock;BPP_200_150_0.1_0.8_8.csp.txt;1;210;0x1.4ae7a73b0f41ep-9;0x1.d85e8c8e7f706p-11;0x1.6c08210bbe4eep-6;0x1.6e9c71c71c71dp+6;
ukp5_int_ns_cutstock;BPP_200_150_0.1_0.8_8.csp.txt;1;216;0x1.193bf7633493fp-9;0x0p+0;0x1.558d5480a499fp-6;0x1.6e9c71c71c71ep+6;
mtu1_cutstock;BPP_200_150_0.1_0.8_8.csp.txt;1;212;0x1.88714a926ccc1p-9;0x1.cc919390c1031p-11;0x1.7da45d3963702p-6;0x1.6e9c71c71c71cp+6;
cplex_cutstock;BPP_200_150_0.1_0.8_8.csp.txt;1;204;0x1.9e85604076569p+0;0x0p+0;0x1.816dd4d5ebeb6p-6;0x1.6e9c71c71c71bp+6;
ukp5_fp_cutstock;BPP_200_150_0.2_0.7_0.csp.txt;1;239;0x1.148163ba310b3p-9;0x1.ce3614a03149fp-11;0x1.46aca8a6381edp-6;0x1.6bp+6;
ukp5_fp_ns_cutstock;BPP_200_150_0.2_0.7_0.csp.txt;1;243;0x1.ff6d5dfc5f8c7p-10;0x0p+0;0x1.47c6fc5be435p-6;0x1.6bp+6;
ukp5_int_cutstock;BPP_200_150_0.2_0.7_0.csp.txt;1;246;0x1.e0c2b42b5178dp-10;0x1.7f59daf059a22p-11;0x1.394a35d093ce2p-6;0x1.6bp+6;
ukp5_int_ns_cutstock;BPP_200_150_0.2_0.7_0.csp.txt;1;244;0x1.afd9bbb76a7ebp-10;0x0p+0;0x1.242851358550ap-6;0x1.6bp+6;
mtu1_cutstock;BPP_200_150_0.2_0.7_0.csp.txt;1;253;0x1.b26632fe9ec5fp-9;0x1.8cf980bd883f1p-11;0x1.49f6d31f6610dp-6;0x1.6bp+6;
cplex_cutstock;BPP_200_150_0.2_0.7_0.csp.txt;1;184;0x1.e1c0dac88561ep-1;0x0p+0;0x1.0c8eb858e63a1p-6;0x1.6bp+6;
ukp5_fp_cutstock;BPP_200_150_0.2_0.8_9.csp.txt;1;214;0x1.02371a7c0ac6p-9;0x1.c89ffd9d0a785p-11;0x1.1cb93d67ae53ep-6;0x1.b6p+6;
ukp5_fp_ns_cutstock;BPP_200_150_0.2_0.8_9.csp.txt;1;214;0x1.9b9d3288f1dfp-10;0x0p+0;0x1.fa51d7db6b17bp-7;0x1.b6p+6;
ukp5_int_cutstock;BPP_200_150_0.2_0.8_9.csp.txt;1;220;0x1.eb74f25f1c5ecp-10;0x1.84cea8bc6ea82p-11;0x1.1723bcb76fb21p-6;0x1.b6p+6;
ukp5_int_ns_cutstock;BPP_200_150_0.2_0.8_9.csp.txt;1;220;0x1.e145c4742788cp-10;0x0p+0;0x1.26acd7e4d8dcdp-6;0x1.b6p+6;
mtu1_cutstock;BPP_200_150_0.2_0.8_9.csp.txt;1;217;0x1.2b475f17c622dp-9;0x1.7ede1b42956adp-11;0x1.0eca867f13394p-6;0x1.b6p+6;
cplex_cutstock;BPP_200_150_0.2_0.8_9.csp.txt;1;175;0x1.6d2a26443767cp-1;0x0p+0;0x1.f5dc69e794122p-7;0x1.b6p+6;
ukp5_fp_cutstock;BPP_200_200_0.1_0.7_8.csp.txt;1;313;0x1.2bb8efb9fb7dfp-8;0x1.ab7270461f5aap-10;0x1.7693d63ec413bp-5;0x1.5576c34c893cbp+6;
ukp5_fp_ns_cutstock;BPP_200_200_0.1_0.7_8.csp.txt;1;309;0x1.06e61ee98b5abp-8;0x0p+0;0x1.7acd159cf543cp-5;0x1.5576c34c893cap+6;
ukp5_int_cutstock;BPP_200_200_0.1_0.7_8.csp.txt;1;304;0x1.23e8ac402929ap-8;0x1.730e0bfeb346p-10;0x1.66d16aec3217ep-5;0x1.5576c34c893ccp+6;
ukp5_int_ns_cutstock;BPP_200_200_0.1_0.7_8.csp.txt;1;297;0x1.074c3e60d2977p-8;0x0p+0;0x1.7316767538778p-5;0x1.5576c34c893cap+6;
mtu1_cutstock;BPP_200_200_0.1_0.7_8.csp.txt;1;311;0x1.4b67764aa3d7p-8;0x1.4bbcecdadf347p-10;0x1.5c4729c65e2ebp-5;0x1.5576c34c893cdp+6;
cplex_cutstock;BPP_200_200_0.1_0.7_8.csp.txt;1;281;0x1.7265bbb567194p+1;0x0p+0;0x1.5a3f6fbdb944fp-5;0x1.5576c34c893cep+6;
ukp5_fp_cutstock;BPP_200_200_0.1_0.8_9.csp.txt;1;337;0x1.4203b08ea8a4ep-8;0x1.fba1d505082ffp-10;0x1.7510bf262c4afp-5;0x1.7111745d1745ep+6;
ukp5_fp_ns_cutstock;BPP_200_200_0.1_0.8_9.csp.txt;1;354;0x1.1785311b9aa9ep-8;0x0p+0;0x1.6042ef4f13f59p-5;0x1.7111745d1746p+6;
ukp5_int_cutstock;BPP_200_200_0.1_0.8_9.csp.txt;1;339;0x1.3b0c345a9465p-8;0x1.c608152ae813ap-10;0x1.694f0d731ef56p-5;0x1.7111745d1745dp+6;
ukp5_int_ns_cutstock;BPP_200_200_0.1_0.8_9.csp.txt;1;335;0x1.24a413090b052p-8;0x0p+0;0x1.7123ccc16ccffp-5;0x1.7111745d1745ep+6;
mtu1_cutstock;BPP_200_200_0.1_0.8_9.csp.txt;1;323;0x1.3c27d71228aa2p-7;0x1.ab8020f79c595p-10;0x1.79b222fd5b09dp-5;0x1.7111745d1745fp+6;
cplex_cutstock;BPP_200_200_0.1_0.8_9.csp.txt;1;288;0x1.d6202a41f2e9ep+1;0x0p+0;0x1.51c41eed19e2dp-5;0x1.7111745d1745cp+6;
ukp5_fp_cutstock;BPP_200_200_0.2_0.7_8.csp.txt;1;385;0x1.db3ab4edef177p-9;0x1.a50c7206e1236p-10;0x1.13c64c6646411p-5;0x1.67c0000000002p+6;
ukp5_fp_ns_cutstock;BPP_200_200_0.2_0.7_8.csp.txt;1;388;0x1.cfb51223a1a34p-9;0x0p+0;0x1.21f1283aa07eep-5;0x1.67cp+6;
ukp5_int_cutstock;BPP_200_200_0.2_0.7_8.csp.txt;1;377;0x1.fdcd0613d17edp-9;0x1.a3388ffa9aa13p-10;0x1.3d4ba124639ep-5;0x1.67c0000000001p+6;
ukp5_int_ns_cutstock;BPP_200_200_0.2_0.7_8.csp.txt;1;385;0x1.bc48a3bb64226p-9;0x0p+0;0x1.2241a5df19a2fp-5;0x1.67bffffffffffp+6;
mtu1_cutstock;BPP_200_200_0.2_0.7_8.csp.txt;1;373;0x1.51c0f9153b62p-8;0x1.725aeeec8fe9ap-10;0x1.1886f7220255ap-5;0x1.67cp+6;
cplex_cutstock;BPP_200_200_0.2_0.7_8.csp.txt;1;222;0x1.7ea1abb6d28fap+0;0x0p+0;0x1.9595f30abde2ap-6;0x1.67bffffffffffp+6;
ukp5_fp_cutstock;BPP_200_200_0.2_0.8_6.csp.txt;1;376;0x1.11ea8591c734bp-8;0x1.eb8d5fd80a761p-10;0x1.1083f9d2c7ec2p-5;0x1.7f55555555556p+6;
ukp5_fp_ns_cutstock;BPP_200_200_0.2_0.8_6.csp.txt;1;369;0x1.b97e440647cb6p-9;0x0p+0;0x1.df84d6a523f79p-6;0x1.7f55555555555p+6;
ukp5_int_cutstock;BPP_200_200_0.2_0.8_6.csp.txt;1;398;0x1.012e71601d29cp-8;0x1.cc9a807cf09f1p-10;0x1.1198bb11275ecp-5;0x1.7f55555555555p+6;
ukp5_int_ns_cutstock;BPP_200_200_0.2_0.8_6.csp.txt;1;392;0x1.d4a25930c8ca7p-9;0x0p+0;0x1.0738c2d8f1e2dp-5;0x1.7f55555555555p+6;
mtu1_cutstock;BPP_200_200_0.2_0.8_6.csp.txt;1;368;0x1.41cd9de0aeb4bp-8;0x1.9dacceaa9d77dp-10;0x1.f2c1eb94b072ep-6;0x1.7f55555555555p+6;
cplex_cutstock;BPP_200_200_0.2_0.8_6.csp.txt;1;247;0x1.c7265ea845c8ap+0;0x0p+0;0x1.af815e1fac293p-6;0x1.7f55555555555p+6;
ukp5_fp_cutstock;BPP_200_300_0.1_0.7_6.csp.txt;1;365;0x1.d1853effd64afp-8;0x1.2be05003c5d4ap-9;0x1.12025a920b9fap-4;0x1.3ccede62433b6p+6;
ukp5_fp_ns_cutstock;BPP_200_300_0.1_0.7_6.csp.txt;1;383;0x1.a953607a3e347p-8;0x0p+0;0x1.15540dc0aa4c2p-4;0x1.3ccede62433b9p+6;
ukp5_int_cutstock;BPP_200_300_0.1_0.7_6.csp.txt;1;373;0x1.cce8bbeba905fp-8;0x1.068c2500af40fp-9;0x1.1c79ba00416e6p-4;0x1.3ccede62433bbp+6;
ukp5_int_ns_cutstock;BPP_200_300_0.1_0.7_6.csp.txt;1;373;0x1.aaf4be6101d5ep-8;0x0p+0;0x1.1cec37650ae0ap-4;0x1.3ccede62433bbp+6;
mtu1_cutstock;BPP_200_300_0.1_0.7_6.csp.txt;1;373;0x1.a68fa593bca45p-8;0x1.fd6ba61654ab3p-10;0x1.1b415fe916265p-4;0x1.3ccede62433bbp+6;
cplex_cutstock;BPP_200_300_0.1_0.7_6.csp.txt;1;351;0x1.916aa0bb5487fp+2;0x0p+0;0x1.284fc4275095dp-4;0x1.3ccede62433b8p+6;
ukp5_fp_cutstock;BPP_200_300_0.1_0.8_8.csp.txt;1;480;0x1.46ed087055c2p-7;0x1.e3945be479b3bp-9;0x1.6d1730f413b89p-4;0x1.677249249249p+6;
ukp5_fp_ns_cutstock;BPP_200_300_0.1_0.8_8.csp.txt;1;459;0x1.124119bf88857p-7;0x0p+0;0x1.6cb9f0b84a9b1p-4;0x1.677249249248fp+6;
ukp5_int_cutstock;BPP_200_300_0.1_0.8_8.csp.txt;1;526;0x1.41cbd250f0326p-7;0x1.a8af02aed35f2p-9;0x1.7e4aa09e56d3fp-4;0x1.6772492492493p+6;
ukp5_int_ns_cutstock;BPP_200_300_0.1_0.8_8.csp.txt;1;518;0x1.1ba281e460004p-7;0x0p+0;0x1.78673aef0bb35p-4;0x1.677249249249p+6;
mtu1_cutstock;BPP_200_300_0.1_0.8_8.csp.txt;1;533;0x1.0b58fccefbae9p-6;0x1.a6a56826516fep-9;0x1.7afa5e4447c7dp-4;0x1.6772492492491p+6;
cplex_cutstock;BPP_200_300_0.1_0.8_8.csp.txt;1;432;0x1.2510a3e1c704bp+3;0x0p+0;0x1.684423345159cp-4;0x1.6772492492492p+6;
ukp5_fp_cutstock;BPP_200_300_0.2_0.7_4.csp.txt;1;456;0x1.4fd2e24bcb40ep-8;0x1.3edb43435cdd2p-9;0x1.69f51d093670cp-5;0x1.5d00000000001p+6;
ukp5_fp_ns_cutstock;BPP_200_300_0.2_0.7_4.csp.txt;1;484;0x1.5fb8b7c1f8b3p-8;0x0p+0;0x1.a774188941657p-5;0x1.5dp+6;
ukp5_int_cutstock;BPP_200_300_0.2_0.7_4.csp.txt;1;484;0x1.750fbb4db8336p-8;0x1.4372c67113126p-9;0x1.be8592b7b950cp-5;0x1.5dp+6;
ukp5_int_ns_cutstock;BPP_200_300_0.2_0.7_4.csp.txt;1;474;0x1.3c2d4aef70184p-8;0x0p+0;0x1.7f991af72fd57p-5;0x1.5cfffffffffffp+6;
mtu1_cutstock;BPP_200_300_0.2_0.7_4.csp.txt;1;474;0x1.4d47d1a5cf87bp-7;0x1.38a30118d1296p-9;0x1.aa05d71e4e386p-5;0x1.5d00000000001p+6;
cplex_cutstock;BPP_200_300_0.2_0.7_4.csp.txt;1;342;0x1.7d3ee51c68b06p+1;0x0p+0;0x1.50cf9155dbdd3p-5;0x1.5cfffffffffffp+6;
ukp5_fp_cutstock;BPP_200_300_0.2_0.8_9.csp.txt;1;436;0x1.3da4a1f19310cp-8;0x1.36887d3c96b4p-9;0x1.3af68159ba645p-5;0x1.9755555555555p+6;
ukp5_fp_ns_cutstock;BPP_200_300_0.2_0.8_9.csp.txt;1;436;0x1.2e35d991e85b3p-8;0x0p+0;0x1.43b46fdeb52c7p-5;0x1.9755555555553p+6;
ukp5_int_cutstock;BPP_200_300_0.2_0.8_9.csp.txt;1;428;0x1.245a11ef40c03p-8;0x1.0c0470272f6fp-9;0x1.321f0d1caf499p-5;0x1.9755555555554p+6;
ukp5_int_ns_cutstock;BPP_200_300_0.2_0.8_9.csp.txt;1;444;0x1.18cd6bd91707bp-8;0x0p+0;0x1.39801f27c117dp-5;0x1.9755555555554p+6;
mtu1_cutstock;BPP_200_300_0.2_0.8_9.csp.txt;1;452;0x1.17c4017723783p-7;0x1.122d0f68e4d6cp-9;0x1.4440cdb6bdd2ep-5;0x1.9755555555555p+6;
cplex_cutstock;BPP_200_300_0.2_0.8_9.csp.txt;1;367;0x1.e42f059e71e7ep+0;0x0p+0;0x1.37208302536c6p-5;0x1.9755555555556p+6;
ukp5_fp_cutstock;BPP_200_400_0.1_0.7_1.csp.txt;1;500;0x1.599d30b9169dap-7;0x1.bb0d292abe10cp-9;0x1.95e11bf5652d8p-4;0x1.4e99350882f21p+6;
ukp5_fp_ns_cutstock;BPP_200_400_0.1_0.7_1.csp.txt;1;453;0x1.336b35f2c4f29p-7;0x0p+0;0x1.976434aa4e141p-4;0x1.4e99350882f2p+6;
ukp5_int_cutstock;BPP_200_400_0.1_0.7_1.csp.txt;1;478;0x1.6292b3eea6dedp-7;0x1.7492a40705d8ap-9;0x1.c26b93ccd0fe8p-4;0x1.4e99350882f27p+6;
ukp5_int_ns_cutstock;BPP_200_400_0.1_0.7_1.csp.txt;1;478;0x1.3aa431b43e46ep-7;0x0p+0;0x1.b42eb32cf9c42p-4;0x1.4e99350882f27p+6;
mtu1_cutstock;BPP_200_400_0.1_0.7_1.csp.txt;1;478;0x1.d1d35e83bb589p-7;0x1.6b26474516935p-9;0x1.c530d5cf999f8p-4;0x1.4e99350882f27p+6;
cplex_cutstock;BPP_200_400_0.1_0.7_1.csp.txt;1;425;0x1.38d71c34d0278p+3;0x0p+0;0x1.6985ae666b803p-4;0x1.4e99350882f21p+6;
ukp5_fp_cutstock;BPP_200_400_0.1_0.8_5.csp.txt;1;516;0x1.86b93ddff0a76p-7;0x1.f322c4478f82cp-9;0x1.d06f6ffa63defp-4;0x1.5428d1ee8175p+6;
ukp5_fp_ns_cutstock;BPP_200_400_0.1_0.8_5.csp.txt;1;517;0x1.6e4c772f94f69p-7;0x0p+0;0x1.d1b2f2c23b096p-4;0x1.5428d1ee81753p+6;
ukp5_int_cutstock;BPP_200_400_0.1_0.8_5.csp.txt;1;581;0x1.a2b79ab67a247p-7;0x1.e24641e9eb7ccp-9;0x1.d5213fc94c428p-4;0x1.5428d1ee8175p+6;
ukp5_int_ns_cutstock;BPP_200_400_0.1_0.8_5.csp.txt;1;584;0x1.86fed78bed897p-7;0x0p+0;0x1.d617d73733f3ep-4;0x1.5428d1ee8175p+6;
mtu1_cutstock;BPP_200_400_0.1_0.8_5.csp.txt;1;600;0x1.685f6935e85e3p-6;0x1.d982f13f258d6p-9;0x1.ed612a4500986p-4;0x1.5428d1ee81755p+6;
cplex_cutstock;BPP_200_400_0.1_0.8_5.csp.txt;1;484;0x1.ff675396800ap+3;0x0p+0;0x1.e3c5b54535839p-4;0x1.5428d1ee81753p+6;
ukp5_fp_cutstock;BPP_200_400_0.2_0.7_9.csp.txt;1;715;0x1.153595d2d467dp-7;0x1.07e2d1b5ae921p-8;0x1.3dfb20ea7daefp-4;0x1.78fffffffffffp+6;
ukp5_fp_ns_cutstock;BPP_200_400_0.2_0.7_9.csp.txt;1;728;0x1.0305a7f9728bdp-7;0x0p+0;0x1.42f14c08164edp-4;0x1.78fffffffffffp+6;
ukp5_int_cutstock;BPP_200_400_0.2_0.7_9.csp.txt;1;721;0x1.0a32faba570fbp-7;0x1.d7542079d9468p-9;0x1.3c51a959c4dcp-4;0x1.79p+6;
ukp5_int_ns_cutstock;BPP_200_400_0.2_0.7_9.csp.txt;1;718;0x1.fa82e431a9819p-8;0x0p+0;0x1.407f2dffe4f4bp-4;0x1.79p+6;
mtu1_cutstock;BPP_200_400_0.2_0.7_9.csp.txt;1;732;0x1.089ac2a84a7b6p-6;0x1.c9202292da965p-9;0x1.3b67a9069f00bp-4;0x1.79p+6;
cplex_cutstock;BPP_200_400_0.2_0.7_9.csp.txt;1;303;0x1.40467ad04d2cap+1;0x0p+0;0x1.49e3a795eccd2p-5;0x1.79p+6;
ukp5_fp_cutstock;BPP_200_400_0.2_0.8_4.csp.txt;1;623;0x1.05410115ee6dap-7;0x1.f2de0c17eee79p-9;0x1.1074231b15b8bp-4;0x1.90a4924924925p+6;
ukp5_fp_ns_cutstock;BPP_200_400_0.2_0.8_4.csp.txt;1;649;0x1.0aa42cdf4aedbp-7;0x0p+0;0x1.23d7aa3a3f85cp-4;0x1.90a4924924925p+6;
ukp5_int_cutstock;BPP_200_400_0.2_0.8_4.csp.txt;1;687;0x1.0c29eb1c2967bp-7;0x1.eb591022c9141p-9;0x1.3318e1bd0dac1p-4;0x1.90a4924924924p+6;
ukp5_int_ns_cutstock;BPP_200_400_0.2_0.8_4.csp.txt;1;673;0x1.0547d0d7a6f92p-7;0x0p+0;0x1.379cc412e1505p-4;0x1.90a4924924924p+6;
mtu1_cutstock;BPP_200_400_0.2_0.8_4.csp.txt;1;712;0x1.e9df25d99d2e1p-7;0x1.e360c092b5575p-9;0x1.39bda66935ce9p-4;0x1.90a4924924922p+6;
cplex_cutstock;BPP_200_400_0.2_0.8_4.csp.txt;1;517;0x1.c24cb9ead0767p+1;0x0p+0;0x1.05dc0650a70c6p-4;0x1.90a4924924922p+6;
ukp5_fp_cutstock;BPP_200_500_0.1_0.7_5.csp.txt;1;553;0x1.c8f3a006815fep-7;0x1.13a43fc36d059p-8;0x1.08c8bcbf2ff84p-3;0x1.406fef6ac0c7p+6;
ukp5_fp_ns_cutstock;BPP_200_500_0.1_0.7_5.csp.txt;1;529;0x1.91c4292070f4dp-7;0x0p+0;0x1.e86dde660d8c5p-4;0x1.406fef6ac0c6cp+6;
ukp5_int_cutstock;BPP_200_500_0.1_0.7_5.csp.txt;1;529;0x1.a1bbda94bf1ccp-7;0x1.cdaf3116b4888p-9;0x1.ebadb9e20e7dbp-4;0x1.406fef6ac0c71p+6;
ukp5_int_ns_cutstock;BPP_200_500_0.1_0.7_5.csp.txt;1;529;0x1.87b5f2d1d55b9p-7;0x0p+0;0x1.f061173e82692p-4;0x1.406fef6ac0c71p+6;
mtu1_cutstock;BPP_200_500_0.1_0.7_5.csp.txt;1;524;0x1.ec669057d178p-7;0x1.ac21f638c5b2ep-9;0x1.d15b3a40f71ecp-4;0x1.406fef6ac0c72p+6;
cplex_cutstock;BPP_200_500_0.1_0.7_5.csp.txt;1;445;0x1.1626d07886824p+4;0x0p+0;0x1.c723b4a9da1d3p-4;0x1.406fef6ac0c7p+6;
ukp5_fp_cutstock;BPP_200_500_0.1_0.8_6.csp.txt;1;365;0x1.93bd189c2587cp-8;0x1.3c80751693a69p-9;0x1.cc69a0b621178p-5;0x1.78p+6;
ukp5_fp_ns_cutstock;BPP_200_500_0.1_0.8_6.csp.txt;1;418;0x1.944e924578966p-8;0x0p+0;0x1.047926a1434afp-4;0x1.78p+6;
ukp5_int_cutstock;BPP_200_500_0.1_0.8_6.csp.txt;1;384;0x1.9d3e94bb387b2p-8;0x1.327e018d9eb9dp-9;0x1.d4f7066d689eep-5;0x1.78p+6;
ukp5_int_ns_cutstock;BPP_200_500_0.1_0.8_6.csp.txt;1;384;0x1.6aed1e50f8ec1p-8;0x0p+0;0x1.d68ec862e357cp-5;0x1.78p+6;
mtu1_cutstock;BPP_200_500_0.1_0.8_6.csp.txt;1;349;0x1.1a23fca342ff8p-7;0x1.0162cdf7e77a5p-9;0x1.d3047458ed573p-5;0x1.77ffffffffffdp+6;
cplex_cutstock;BPP_200_500_0.1_0.8_6.csp.txt;1;319;0x1.1b5e30bd372e1p+2;0x0p+0;0x1.f4cb4dbe1b506p-5;0x1.77fffffffffffp+6;
ukp5_fp_cutstock;BPP_200_500_0.2_0.7_1.csp.txt;1;863;0x1.c240b334b1744p-7;0x1.6d9037815cc83p-8;0x1.c87a74b2a6d35p-4;0x1.6ffb6db6db6d7p+6;
ukp5_fp_ns_cutstock;BPP_200_500_0.2_0.7_1.csp.txt;1;878;0x1.7c0983eae4428p-7;0x0p+0;0x1.c4331a1156c89p-4;0x1.6ffb6db6db6d8p+6;
ukp5_int_cutstock;BPP_200_500_0.2_0.7_1.csp.txt;1;897;0x1.bbd090a6abd0ep-7;0x1.56f48c0c1af3ap-8;0x1.d2aa3cf74ea3p-4;0x1.6ffb6db6db6d5p+6;
ukp5_int_ns_cutstock;BPP_200_500_0.2_0.7_1.csp.txt;1;914;0x1.776eac301f2cbp-7;0x0p+0;0x1.d5b843dc565fap-4;0x1.6ffb6db6db6d6p+6;
mtu1_cutstock;BPP_200_500_0.2_0.7_1.csp.txt;1;867;0x1.9927e13ce8b5fp-5;0x1.34435391cd728p-8;0x1.c7acad50385a2p-4;0x1.6ffb6db6db6d8p+6;
cplex_cutstock;BPP_200_500_0.2_0.7_1.csp.txt;1;487;0x1.6bc3abfde40adp+3;0x0p+0;0x1.3570b72ad7a27p-4;0x1.6ffb6db6db6d8p+6;
ukp5_fp_cutstock;BPP_200_500_0.2_0.8_5.csp.txt;1;978;0x1.b9e7a6dc92007p-7;0x1.80d0cade3529fp-8;0x1.a78f91d043f27p-4;0x1.a4p+6;
ukp5_fp_ns_cutstock;BPP_200_500_0.2_0.8_5.csp.txt;1;983;0x1.87f299205e2a8p-7;0x0p+0;0x1.b16a8630b122dp-4;0x1.a4p+6;
ukp5_int_cutstock;BPP_200_500_0.2_0.8_5.csp.txt;1;1004;0x1.cf52a390e946ap-7;0x1.67c71733d6d01p-8;0x1.c622f16905cb9p-4;0x1.a4p+6;
ukp5_int_ns_cutstock;BPP_200_500_0.2_0.8_5.csp.txt;1;1004;0x1.85bc5dfaee2e9p-7;0x0p+0;0x1.c05bc1b68801p-4;0x1.a4p+6;
mtu1_cutstock;BPP_200_500_0.2_0.8_5.csp.txt;1;1004;0x1.9a7ac680e985fp-6;0x1.567749d24ad43p-8;0x1.c57066198f73cp-4;0x1.a4p+6;
