num_iter;knapsack_time;sort_time
91;0x1.e3459b50e5061p-13;0x1.bad15de74d11ep-15
92;0x1.b3dd1a5574595p-13;0x1.92265db7c121fp-15
93;0x1.6624aab7d7a5dp-13;0x1.8aacf549a13c6p-15
94;0x1.4aff68e78647cp-13;0x1.5bd11d4fad4d9p-15
95;0x1.4d6f40f7e44a1p-13;0x1.5b65bd85425adp-15
96;0x1.bacbff839485cp-14;0x1.5bbdc9824821ep-15
97;0x1.1e5ecbf979645p-13;0x1.6eb76528f1076p-15
98;0x1.567ac72cb5fcbp-13;0x1.90e218970344ep-15
99;0x1.3c3565678dd8cp-13;0x1.89e9898230829p-15
100;0x1.898e44e2ef344p-13;0x1.7ff69f1d0004dp-15
101;0x1.03c383f8c87e3p-13;0x1.82c1bbcc9f557p-15
102;0x1.c2bb848390766p-14;0x1.61a59d9a157bap-15
103;0x1.1e5b09e6de9bep-13;0x1.571a3a8b38a53p-15
104;0x1.394e5de49549p-13;0x1.50f64549bec38p-15
105;0x1.1e48c8fa37f29p-13;0x1.b17b37aec2f69p-15
106;0x1.63d508fdccec5p-14;0x1.5287d9a0114f5p-15
107;0x1.77fb4a74d4798p-13;0x1.9b33803db0984p-15
108;0x1.4bdc99c0d33bdp-13;0x1.65a81ce1848c4p-15
109;0x1.7e068d8530a36p-14;0x1.4afb1d648c3e1p-15
110;0x1.4823a79c5e118p-13;0x1.455c4cff59895p-15
111;0x1.fed74fcc5fd94p-14;0x1.8aaacf8824378p-15
112;0x1.3c0a7249c977bp-12;0x1.497cdcdb9eddep-15
113;0x1.a493505ced498p-13;0x1.3ebbc9e78c8e1p-15
114;0x1.d1f86bf329691p-14;0x1.3bc7dfdba5e13p-15
115;0x1.d57c37a2c85b4p-14;0x1.40d4a8dba34bcp-15
116;0x1.54c985f06f694p-14;0x1.48050d97288c5p-15
117;0x1.2cc0a8514267ep-14;0x1.42889949c6254p-15
118;0x1.ef90be761450cp-14;0x1.60d99accb0ae7p-15
119;0x1.39ed47d2b8b04p-14;0x1.4a33661a217a9p-15
120;0x1.04ba79e3f1ac8p-13;0x1.4511238b41df7p-15
121;0x1.0bbd3c4fd645ep-14;0x1.4b0e7131f169cp-15
122;0x1.f63f36f78deb8p-14;0x1.4c2377b1f0dcp-15
123;0x1.2129e8a918b5p-13;0x1.55d3cfa8fdc34p-15
124;0x1.f4cbb33611a3ap-14;0x1.558f17795d27fp-15
125;0x1.909d606762a98p-14;0x1.560759ccb637cp-15
126;0x1.07463cc7a8edep-13;0x1.9ad2dd3ab6bddp-15
127;0x1.fb893401f6608p-15;0x1.5030b3c0d104ep-15
128;0x1.7c6e87ea6708fp-14;0x1.47c6c6abfeff8p-15
129;0x1.d41e2d702e43fp-14;0x1.402490e197bdbp-15
130;0x1.5d39e449b87d3p-14;0x1.4a48dfa903ab1p-15
131;0x1.b4442e9ce5426p-14;0x1.9dbe3040a9574p-15
132;0x1.6388cca8f6cp-14;0x1.5ae92faeef414p-15
133;0x1.23fd9c5eac191p-13;0x1.50bc49e18f407p-15
